variable_1,variable_2
"“Gba wèrè,” “Ng ò gba wèrè” lọjà-á fi ńhó.","One may have no means of avoiding insult from others, but it is always in one's power to reject insults."
Irọ́ ni “Má jẹ̀ẹ́nìkan ó gbọ́”; òótọ́ ni “Ẹni o rí o bi.”,It is a only a lie that one wants no witness to; one will gladly proclaim the truth.
"“Mú wá, mú wá” lapá ẹyẹlé ńké.","Some people know only how to take, never how to give."
Ìwòyí èṣí ewùrà-a baba-à mí ti ta; ìrègún rere ò sí níbẹ̀.,"One should look to the present instead of dwelling on past achievements, and others' at that."
“Wá jẹun.” “Ng ò jẹ.” Ó fọgọ́rùnún òkèlè tọ́ ọbẹ̀ wò.,"If you intend to decline an invitation, match your action to your words."
“Wó ilé ẹ kí mbá ọ kọ”: ẹrù ikán kan ní ńpa fúnni.,Never trust people who goad you into trouble with promises of help down the road.
"“Má fi okoò mi dá ọ̀nà,” ọjọ́ kan là ńkọ̀ ọ́.",Whoever does not take a stand to protest the violation of his/her rights will continue to have them violated.
“Má fi tìrẹ kọ́ mi lọ́rùn” là ńdá fún apèna àti òwú.,Do not involve me in your problems as the weft thread got the shuttle entangled in its problem.
"“Má bàá mi jẹ ìdùn,” ẹran ní ńlé lọ.",The selfish person would rather ward off good fortune than allow others to share it with him.
“Bùn mi níṣu kan” kì í ṣáájú “Ẹkú oko òo.”,"One does not ask a favor of, or transact any business with any person without first exchanging pleasantries with the person."
“Yan àkàrà fún mi wá ká jìjọ jẹ ẹ́”: àìtó èèyàn-án rán níṣẹ́ ní ńjẹ́ bẹ́ẹ̀.,People in authority should not be tentative in asserting their authority.
“Máa jẹ́ ǹṣó” lọ̀yà fi ńju ẹmọ́ lọ.,Excessive consideration for others can be disadvantageous.
"“Sìn mí ká relé àna,” ó wẹ̀wù ẹtù.",Said of a person who attempts to steal other people's glory when he/she is supposed to be helping them.
“Ọlá ò jẹ́ kí nríran”; ọmọ Èwí Adó tí ńtanná rìn lọ́sàn-án.,One should not allow one's good fortune to go to one's head.
“O kú iṣẹ́” ò lè bí aráyé nínú.,A courteous act does not expose one to trouble.
"“Ẹ kú-ulé” ò yẹ ará ilé; “Ẹ kú atìbà” ò yẹni tí ńtàjò bọ̀; ẹni tí ò kí ẹni, “Kú atìbà”-á pàdánù “Ẹ kú-ulé.”",Whoever does not extend courtesies cannot expect to receive courtesies.
"“Ó fò sókè ó pẹ́ títí,” irọ́ ló ńpa.",One should control the urge to exaggerate.
“Bá mi mádìẹ” kì í fi orúnkún bó.,Overzealousness in helping others is a fault.
“Gba ọmọ fún mi kí nrèdí”; bí ìdí ò bá ṣe-é re ká gbọ́mọ fọ́lọ́mọ.,One should not place oneself in difficulty in order to help others out of difficulty.
Ẹrù-u hòo kì í wọni lọ́rùn.,"Saying one agrees, even when one does not, spares one a great deal of headache."
"“Mo gbọ́n tán, mo mọ̀ràn tán” kì í jẹ́ kí agbọ́n lóró bí oyin.",Whoever will not listen to instruction will learn nothing.
“Mo mọ̀-ọ́ gùn” lẹṣin ńdà.,Assuming that one knows it all it causes one grief.
"“Mo dára, mo dára,” àìdára ní ńpẹ̀kun ẹ̀.",Whoever is infatuated with his or her attractiveness will end up being despised by all.
"“Mo yó” ńjẹ́ “mo yó,” “mo kọ̀” ńjẹ́ “mo kọ̀”; jẹun ǹṣó, àgbà ọ̀kánjúwà ni.",One should not accept every invitation to the table.
“Ebí ńpa mí” ò ṣéé fìfé wí.,A person in need of help must not be coy or cryptic in asking.
“Mo mọ̀wọ̀n ara-à mi” kì í ṣẹ̀rẹ̀kẹ́ èébú.,A person who wishes to maintain his dignity must not by his/her actions invite insults.
"“Kò dùn mí, kò dùn mí”; àgbàlagbà ḿbú ọpa lẹ́ẹ̀mẹfà nítorí iyán àná.",A person's protestation of indifference is belied by his/her agitated behavior.
“Mo mỌ̀bàrà mo mỌ̀fún” ti kì í jẹ́ kí àwòko kọ́ ọ̀pẹ́ẹ̀rẹ́ nÍfá.,Disdain for advise or instruction leaves a person in ignorance.
“Méè-wáyé-ẹjọ́” fọmọ ẹ̀ fọ́kọ mẹ́fà. Méèwáyéẹjọ́,If one wishes to avoid trouble one should avoid actions certain to result in trouble.
“Mo ṣe é tán” ló níyì; a kì í dúpẹ́ aláṣekù.,"Whatever one embarks upon, one should see through."
“Ó ṣe mí rí”; ògbó adìẹ-ẹ́ rí àwòdì sá.,One learns to run from danger once one has recognized it for what it is.
“Mo kúgbé” lehoro ńdún lóko; “Mo mówó rá” làparò ńdún lábà-a bàbà.,A worthless person can also be counted upon to destroy things of value.
"“Mo mọ̀-ọ́ gún, mo mọ̀-ọ́ tẹ̀” niyán ewùrà-á fi ńlẹ́mọ.",Knowing it all can be disastrous.
“Mo mọ̀-ọ́ tán” lOrò-ó fi ńgbé ọkùnrin.,Knowing it all leads to disaster.
“Mo kò ó” kì í ṣe àìní àpèjúwe.,One should say enough to make one's message understood.
"“Màá kó ẹrú, màá kó ẹrù” là ḿbá lọ sógun; ọ̀nà lẹnìkẹta ḿbáni.",Too often one is so preoccupied with the good aspects of a proposition that the bad aspects sneak up on one.
"“Ng óò wọ́ ọ kágbó,” ẹ̀hìn-in rẹ̀ ni yó fi lànà.",Whoever is determined to make trouble for others must be prepared to take some trouble himself.
“Ng óò gba owó-ò mi lára ṣòkòtò yìí”; ìdí làgbàlagbà ńṣí sílẹ̀.,One should not insist on squeezing every last once of use out of a perishable article.
"“Ng ó lọ, ng ó lọ!” lobìnrín fi ńdẹ́rù ba ọkùnriń “Bóo lè lọ o lọ” lọkùnrín fi ńdẹ́rù ba obìnrin.",Every person in a relationship has something he/she can hold over the others.
Ilè-ni-mo-wà kì í jẹ̀bi ẹjọ́.,One does not get into trouble by minding one's own business.
“Bí mo lè kú ma kú” lọmọkùrín fi ńlágbárá “Ng ò lè wáá kú” lọmọkùnrín fi ńlẹ.,Daring makes the man; caution unmakes the man.
"Bí o bá já ng ó so ọ́, kókó yó wà láàárín-in rẹ̀.",Something repaired is seldom the same as something unspoilt.
“Ọjọ́ tí mo ti ḿbọ̀ ng ò rírú ẹ̀ rí”: olúwa ẹ̀-ẹ́ mọ ìwọ̀n ara ẹ̀ ni.,If one knows one's place one will be spared humiliation.
“Ó mọ́ mi lọ́wọ́” ní ńdi olè.,One should not grow too attached to other people's possessions.
"“Tàná là ńjà lé lórí”, ló pa Baálẹ̀ẹ Kòmọ̀kan.",It is wise to let the past alone.
